Bezirk Tempelhof-Schˆneberg: Energieverbrauchs¸bersicht bezirklicher Geb‰ude f¸r 2010-2019;;;;;;;;;;;;;;;;
ID;Liegenschaft;Adresse;PLZ;Bauwerk;"Energieart
(W‰rmeverbrauch ist witterungsbereinigt)";Einheit;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
51;Werkhof;Domnauer Straﬂe 41;12105;Dienstgeb‰ude;W‰rme;kWh;131.407;142.525;110.673;100.007;107.782;110.654;92.016;114.170;122.487;141.175
51;Werkhof;Domnauer Straﬂe 41;12105;Dienstgeb‰ude;Strom;kWh;8.415;7.321;6.233;6.946;7.708;7.732;6.830;9.077;9.623;9.457
52;Werkhof;Domnauer Straﬂe 41;12105;Werkhalle / Werkstatt;W‰rme;kWh;176.703;191.653;148.822;134.480;144.935;148.796;123.734;153.525;164.709;189.838
52;Werkhof;Domnauer Straﬂe 41;12105;Werkhalle / Werkstatt;Strom;kWh;11.316;9.844;8.382;9.341;10.365;10.397;9.184;12.206;12.940;12.717
53;Werkhof;Domnauer Straﬂe 41;12105;Garage / Wagenhalle;W‰rme;kWh;270.182;293.041;227.551;205.621;221.608;227.512;189.191;234.742;251.842;290.265
53;Werkhof;Domnauer Straﬂe 41;12105;Garage / Wagenhalle;Strom;kWh;17.302;15.052;12.815;14.282;15.848;15.898;14.043;18.663;19.786;19.444
65;Teltow-Schule;Ebersstraﬂe 9 / Feurigstraﬂe 57;10827;Beratungsstelle LSA;W‰rme;kWh;252.342;248.648;217.169;271.316;325.115;303.102;284.594;273.968;232.801;222.705
65;Teltow-Schule;Ebersstraﬂe 9 / Feurigstraﬂe 57;10827;Beratungsstelle LSA;Strom;kWh;48.469;50.630;50.839;48.206;48.225;56.992;54.740;57.040;51.100;52.180
294;Friedhof 1;Eisackstraﬂe 40a / K‰rntener Straﬂe;10827;Verwaltungsgeb‰ude;Strom;kWh;10.312;22.734;15.494;15.059;12.918;18.416;20.979;25.527;5.890;22.635
54;Sophie-Scholl-Schule;Elﬂholzstraﬂe 34-37;10781;Schulgeb‰ude;W‰rme;kWh;1.615.874;1.501.596;1.504.739;1.562.785;1.200.089;1.299.544;1.410.162;1.495.200;1.605.905;1.391.327
54;Sophie-Scholl-Schule;Elﬂholzstraﬂe 34-37;10781;Schulgeb‰ude;Strom;kWh;445.181;439.649;417.743;398.048;373.134;351.144;316.903;352.597;341.136;329.034
55;Sophie-Scholl-Schule;Elﬂholzstraﬂe 34-37 / Pallastraﬂe 34;10781;Sporthalle;W‰rme;kWh;369.642;343.500;344.219;170.939;492.074;400.964;445.726;391.484;442.994;382.069
55;Sophie-Scholl-Schule;Elﬂholzstraﬂe 34-37 / Pallastraﬂe 34;10781;Sporthalle;Strom;kWh;5.214;5.240;5.560;5.671;4.102;4.400;4.732;4.436;3.697;3.734
56;Marienfelder-Schule;Erbendorfer Weg 13;12279;Sporthalle;W‰rme;kWh;208.763;184.680;160.776;155.053;157.108;208.355;179.430;163.042;162.876;132.898
56;Marienfelder-Schule;Erbendorfer Weg 13;12279;Sporthalle;Strom;kWh;13.965;30.640;25.753;23.867;45.687;62.967;39.854;38.196;71.649;40.084
57;Marienfelder-Schule;Erbendorfer Weg 13;12279;Schulgeb‰ude;W‰rme;kWh;752.966;666.104;579.889;559.248;566.657;751.496;647.169;588.061;587.460;479.338
57;Marienfelder-Schule;Erbendorfer Weg 13;12279;Schulgeb‰ude;Strom;kWh;75.890;75.889;64.853;76.579;79.859;74.726;54.437;74.547;88.291;31.213
58;Marienfelder-Schule;Erbendorfer Weg 15;12279;Hortgeb‰ude;W‰rme;kWh;126.068;122.326;116.923;121.092;124.191;127.476;125.747;135.288;141.797;131.099
58;Marienfelder-Schule;Erbendorfer Weg 15;12279;Hortgeb‰ude;Strom;kWh;15.939;16.244;15.890;12.068;11.791;18.610;13.451;21.116;16.324;16.808
295;Gesundheitshaus;Erfurter Straﬂe 7-8;10825;Betreuungsst‰tte;Strom;kWh;189.531;0;0;0;0;0;0;0;0;0
59;Friedhof 2;Eythstraﬂe 7/9;12105;Kapelle;W‰rme;kWh;110.355;127.342;123.141;127.074;124.993;118.266;91.800;66.949;66.491;111.475
59;Friedhof 2;Eythstraﬂe 7/9;12105;Kapelle;Strom;kWh;7.303;7.593;16.450;15.523;15.712;24.869;15.850;10.936;14.628;16.057
